Rank,Title,Year,Rating,Duration,Genre,IMDb URL,Image URL
1,The Shawshank Redemption,1994,9.3,2h 22m,Drama,https://www.imdb.com/title/tt0111161/,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg
2,The Godfather,1972,9.2,2h 55m,Crime,https://www.imdb.com/title/tt0068646/,https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_.jpg
3,The Dark Knight,2008,9.1,2h 32m,Action,https://www.imdb.com/title/tt0468569/,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg
4,The Godfather Part II,1974,9.0,3h 22m,Crime,https://www.imdb.com/title/tt0071562/,https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_.jpg
5,12 Angry Men,1957,9.0,1h 36m,Drama,https://www.imdb.com/title/tt0050083/,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_.jpg
6,The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,Adventure,https://www.imdb.com/title/tt0167260/,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg
7,Schindler's List,1993,9.0,3h 15m,Biography,https://www.imdb.com/title/tt0108052/,https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_.jpg
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m,Adventure,https://www.imdb.com/title/tt0120737/,https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg
9,Pulp Fiction,1994,8.8,2h 34m,Crime,https://www.imdb.com/title/tt0110912/,https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg
10,The Good - the Bad and the Ugly,1966,8.8,2h 58m,Western,https://www.imdb.com/title/tt0060196/,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg
11,Forrest Gump,1994,8.8,2h 22m,Drama,https://www.imdb.com/title/tt0109830/,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_.jpg
12,The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,Adventure,https://www.imdb.com/title/tt0167261/,https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_.jpg
13,Fight Club,1999,8.8,2h 19m,Drama,https://www.imdb.com/title/tt0137523/,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg
14,Inception,2010,8.8,2h 28m,Action,https://www.imdb.com/title/tt1375666/,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,Sci-Fi,https://www.imdb.com/title/tt0080684/,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg
16,The Matrix,1999,8.7,2h 16m,Action,https://www.imdb.com/title/tt0133093/,https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg
17,Goodfellas,1990,8.7,2h 25m,Crime,https://www.imdb.com/title/tt0099685/,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg
18,Interstellar,2014,8.7,2h 49m,Sci-Fi,https://www.imdb.com/title/tt0816692/,https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg
19,One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,Drama,https://www.imdb.com/title/tt0073486/,https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg
20,Se7en,1995,8.6,2h 7m,Crime,https://www.imdb.com/title/tt0114369/,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg
21,It's a Wonderful Life,1946,8.6,2h 10m,Drama,https://www.imdb.com/title/tt0038650/,https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg
22,The Silence of the Lambs,1991,8.6,1h 58m,Thriller,https://www.imdb.com/title/tt0102926/,https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg
23,Seven Samurai,1954,8.6,3h 27m,Action,https://www.imdb.com/title/tt0047478/,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg
24,Saving Private Ryan,1998,8.6,2h 49m,War,https://www.imdb.com/title/tt0120815/,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg
25,The Green Mile,1999,8.6,3h 9m,Drama,https://www.imdb.com/title/tt0120689/,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg
26,City of God,2002,8.6,2h 10m,Crime,https://www.imdb.com/title/tt0317248/,https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg
27,Life Is Beautiful,1997,8.6,1h 56m,Comedy,https://www.imdb.com/title/tt0118799/,https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg
28,Terminator 2: Judgment Day,1991,8.6,2h 17m,Action,https://www.imdb.com/title/tt0103064/,https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg
29,Star Wars: Episode IV - A New Hope,1977,8.6,2h 1m,Sci-Fi,https://www.imdb.com/title/tt0076759/,https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg
30,Back to the Future,1985,8.5,1h 56m,Sci-Fi,https://www.imdb.com/title/tt0088763/,https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg
31,Spirited Away,2001,8.6,2h 4m,Animation,https://www.imdb.com/title/tt0245429/,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg
32,The Pianist,2002,8.5,2h 30m,Biography,https://www.imdb.com/title/tt0253474/,https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_.jpg
33,Gladiator,2000,8.5,2h 35m,Action,https://www.imdb.com/title/tt0172495/,https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg
34,Parasite,2019,8.5,2h 12m,Thriller,https://www.imdb.com/title/tt6751668/,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg
35,Psycho,1960,8.5,1h 49m,Horror,https://www.imdb.com/title/tt0054215/,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_.jpg
36,The Lion King,1994,8.5,1h 28m,Animation,https://www.imdb.com/title/tt0110357/,https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_.jpg
37,Grave of the Fireflies,1988,8.5,1h 28m,Animation,https://www.imdb.com/title/tt0095327/,https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_.jpg
38,The Departed,2006,8.5,2h 31m,Crime,https://www.imdb.com/title/tt0407887/,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg
39,Whiplash,2014,8.5,1h 46m,Drama,https://www.imdb.com/title/tt2582802/,https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_.jpg
40,Harakiri,1962,8.6,2h 13m,Drama,https://www.imdb.com/title/tt0056058/,https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_.jpg
41,The Prestige,2006,8.5,2h 10m,Drama,https://www.imdb.com/title/tt0482571/,https://m.media-amazon.com/images/M/MV5BMTM3MzQ5MjQ5OF5BMl5BanBnXkFtZTcwMTQ3NzMzMw@@._V1_.jpg
42,American History X,1998,8.5,1h 59m,Drama,https://www.imdb.com/title/tt0120586/,https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg
43,Léon: The Professional,1994,8.5,1h 50m,Action,https://www.imdb.com/title/tt0110413/,https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg
44,Spider-Man: Across the Spider-Verse,2023,8.5,2h 20m,Animation,https://www.imdb.com/title/tt9362722/,https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_.jpg
45,Casablanca,1942,8.5,1h 42m,Drama,https://www.imdb.com/title/tt0034583/,https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_.jpg
46,Cinema Paradiso,1988,8.5,2h 54m,Drama,https://www.imdb.com/title/tt0095765/,https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg
47,The Intouchables,2011,8.5,1h 52m,Comedy,https://www.imdb.com/title/tt1675434/,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg
48,The Usual Suspects,1995,8.5,1h 46m,Crime,https://www.imdb.com/title/tt0114814/,https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_.jpg
49,Alien,1979,8.5,1h 57m,Horror,https://www.imdb.com/title/tt0078748/,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_.jpg
50,Modern Times,1936,8.5,1h 27m,Comedy,https://www.imdb.com/title/tt0027977/,https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_.jpg
51,Rear Window,1954,8.5,1h 52m,Thriller,https://www.imdb.com/title/tt0047396/,https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_.jpg
52,Django Unchained,2012,8.5,2h 45m,Western,https://www.imdb.com/title/tt1853728/,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg
53,Once Upon a Time in the West,1968,8.5,2h 46m,Western,https://www.imdb.com/title/tt0064116/,https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_.jpg
54,City Lights,1931,8.5,1h 27m,Comedy,https://www.imdb.com/title/tt0021749/,https://m.media-amazon.com/images/M/MV5BYmMwZDIyZWUtODVhYS00MDRmLTg0N2ItMzU5MGZhN2IxNmZjXkEyXkFqcGc@._V1_.jpg
55,Apocalypse Now,1979,8.4,2h 27m,War,https://www.imdb.com/title/tt0078788/,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_.jpg
56,WALL·E,2008,8.4,1h 38m,Animation,https://www.imdb.com/title/tt0910970/,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg
57,Memento,2000,8.4,1h 53m,Thriller,https://www.imdb.com/title/tt0209144/,https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_.jpg
